Chapter and subsection,Raw text hazard-related context,Context goal,Context role,Terms extracted from context,UFO types associated with terms,,,Explicit ontological type,Number of UFO types,Harmful Event,Hazardous Event
"IEC 61508-4:2010, 3.5.1",safety function,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",safety function,safety function: Event/Moment,,,Implicit,2,,
"IEC 61508-4:2010, 3.5.2",overall safety function,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",overall safety function,overall safety function: Event/Moment,,,Implicit,2,,
"IEC 61508-4:2010, 3.5.3",element safety function,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",element safety function,element safety function: Event/Moment,,,Implicit,2,,
"IEC 61508-4:2010, 3.5.4",safety integrity,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",safety integrity,safety integrity: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.5.8",safety integrity level,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",safety integrity level / SIL,safety integrity level: Moment; SIL: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.5.9",systematic capability,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",systematic capability,systematic capability: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.5.11",E/E/PE safety function requirements specification,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",E/E/PE safety function requirements specification,E: Event; E: Event; PE safety function requirements specification: Event/Moment,,,Implicit,2,,
"IEC 61508-4:2010, 3.5.12",E/E/PE safety integrity requirements specification,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",E/E/PE safety integrity requirements specification,E: Event; E: Event; PE safety integrity requirements specification: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.5.14",way in which a safety function operates,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",mode of operation,mode of operation: Situation,,,Implicit,1,,
"IEC 61508-4:2010, 3.5.14","where the safety function is only performed on demand, in order to transfer the EUC into a specified safe state, and where the frequency of demands is no greater than one per year",Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",low demand mode,low demand mode: Situation,,,Implicit,1,,
